ID	allele_type
MTBC_477	accessory
MTBC_478	core
MTBC_479	core
MTBC_480	core
MTBC_481	accessory
MTBC_482	core
MTBC_483	core
MTBC_484	accessory
MTBC_485	accessory
MTBC_486	core
MTBC_487	core
MTBC_488	core
MTBC_489	core
MTBC_490	core
MTBC_491	accessory
MTBC_492	core
MTBC_493	core
MTBC_494	core
MTBC_495	accessory
MTBC_496	accessory
MTBC_497	core
MTBC_498	core
MTBC_499	core
MTBC_500	core
MTBC_501	core
MTBC_502	core
MTBC_503	core
MTBC_504	core
MTBC_505	core
MTBC_506	core
MTBC_507	core
MTBC_508	core
MTBC_509	core
MTBC_510	accessory
MTBC_511	core
MTBC_512	core
MTBC_513	core
MTBC_514	core
MTBC_515	core
MTBC_516	core
MTBC_517	core
MTBC_518	accessory
MTBC_519	core
MTBC_520	core
MTBC_521	core
MTBC_522	accessory
MTBC_523	core
MTBC_524	core
MTBC_525	core
MTBC_526	core
MTBC_527	core
MTBC_528	core
MTBC_529	core
MTBC_530	core
MTBC_531	core
MTBC_532	core
MTBC_533	core
MTBC_534	accessory
MTBC_535	core
MTBC_536	accessory
MTBC_537	accessory
MTBC_538	core
MTBC_539	core
MTBC_540	accessory
MTBC_541	accessory
MTBC_542	core
MTBC_543	core
MTBC_544	core
MTBC_545	core
MTBC_546	core
MTBC_547	core
MTBC_548	core
MTBC_549	core
MTBC_550	core
MTBC_551	core
MTBC_552	accessory
MTBC_553	core
MTBC_554	core
MTBC_555	core
MTBC_556	core
MTBC_557	core
MTBC_558	core
MTBC_559	core
MTBC_560	core
MTBC_561	core
MTBC_562	core
MTBC_563	core
MTBC_564	accessory
MTBC_565	core
MTBC_566	core
MTBC_567	accessory
MTBC_568	core
MTBC_569	accessory
MTBC_570	core
MTBC_571	accessory
MTBC_572	core
MTBC_573	accessory
MTBC_574	core
MTBC_575	accessory
MTBC_576	core
MTBC_577	core
MTBC_578	accessory
MTBC_579	core
MTBC_580	accessory
MTBC_581	accessory
MTBC_582	core
MTBC_583	core
MTBC_584	core
MTBC_585	accessory
MTBC_586	core
MTBC_587	core
MTBC_588	core
MTBC_589	core
MTBC_590	core
MTBC_591	accessory
MTBC_592	core
MTBC_593	core
MTBC_594	accessory
MTBC_595	core
MTBC_596	core
MTBC_597	accessory
MTBC_598	core
MTBC_599	core
MTBC_600	accessory
MTBC_601	core
MTBC_602	core
MTBC_603	accessory
MTBC_604	core
MTBC_605	core
MTBC_606	core
MTBC_607	core
MTBC_608	core
MTBC_609	core
MTBC_610	accessory
MTBC_611	core
MTBC_612	core
MTBC_613	core
MTBC_614	core
MTBC_615	core
MTBC_616	core
MTBC_617	accessory
MTBC_618	core
MTBC_619	core
MTBC_620	core
MTBC_621	accessory
MTBC_622	core
MTBC_623	core
MTBC_624	accessory
MTBC_625	core
MTBC_626	accessory
MTBC_627	core
MTBC_628	core
MTBC_629	core
MTBC_630	core
MTBC_631	accessory
MTBC_632	core
MTBC_633	accessory
MTBC_634	core
MTBC_635	core
MTBC_636	core
MTBC_637	core
MTBC_638	core
MTBC_639	core
MTBC_640	accessory
MTBC_641	accessory
MTBC_642	core
MTBC_643	core
MTBC_644	core
MTBC_645	core
MTBC_646	core
MTBC_647	accessory
MTBC_648	core
MTBC_649	core
MTBC_650	core
MTBC_651	core
MTBC_652	core
MTBC_653	core
MTBC_654	core
MTBC_655	core
MTBC_656	accessory
MTBC_657	core
MTBC_658	core
MTBC_659	accessory
MTBC_660	core
MTBC_661	accessory
MTBC_662	core
MTBC_663	core
MTBC_664	core
MTBC_665	core
MTBC_666	core
MTBC_667	core
MTBC_668	core
MTBC_669	accessory
MTBC_670	accessory
MTBC_671	core
MTBC_672	core
MTBC_673	accessory
MTBC_674	core
MTBC_675	core
MTBC_676	core
MTBC_677	core
MTBC_678	accessory
MTBC_679	core
MTBC_680	core
MTBC_681	core
MTBC_682	core
MTBC_683	core
MTBC_684	core
MTBC_685	accessory
MTBC_686	core
MTBC_687	core
MTBC_688	core
MTBC_689	core
MTBC_690	accessory
MTBC_691	accessory
MTBC_692	core
MTBC_693	core
MTBC_694	core
MTBC_695	core
MTBC_696	core
MTBC_697	core
MTBC_698	core
MTBC_699	core
